 5820. 5810. 5800. 5800. 5780. 5780. 5770. 5750. 5750. 5780. 5800. 5820. 5830. 5840. 5840. 5850. 5850. 5860. 5870. 5880.
 5780. 5796. 5787. 5785. 5776. 5773. 5767. 5759. 5761. 5778. 5794. 5808. 5820. 5828. 5834. 5837. 5840. 5844. 5855. 5860.
 5770. 5773. 5761. 5758. 5751. 5750. 5746. 5740. 5743. 5758. 5773. 5784. 5795. 5805. 5810. 5809. 5808. 5808. 5821. 5840.
 5730. 5737. 5727. 5726. 5723. 5726. 5729. 5730. 5735. 5749. 5760. 5767. 5777. 5793. 5801. 5794. 5783. 5778. 5787. 5800.
 5670. 5675. 5662. 5662. 5664. 5673. 5684. 5689. 5697. 5714. 5729. 5739. 5751. 5771. 5779. 5765. 5745. 5737. 5745. 5770.
 5590. 5609. 5600. 5605. 5611. 5623. 5634. 5641. 5649. 5669. 5691. 5711. 5728. 5750. 5753. 5724. 5693. 5688. 5699. 5740.
 5540. 5564. 5555. 5562. 5570. 5578. 5582. 5585. 5594. 5615. 5644. 5670. 5690. 5710. 5706. 5665. 5627. 5628. 5644. 5700.
 5540. 5554. 5544. 5543. 5543. 5540. 5533. 5529. 5537. 5560. 5595. 5628. 5650. 5662. 5643. 5590. 5547. 5560. 5587. 5660.
 5590. 5566. 5548. 5530. 5513. 5495. 5478. 5470. 5477. 5503. 5544. 5578. 5599. 5598. 5558. 5491. 5447. 5483. 5532. 5640.
 5590. 5556. 5531. 5500. 5471. 5444. 5422. 5416. 5428. 5457. 5502. 5537. 5556. 5540. 5481. 5402. 5358. 5410. 5478. 5600.
 5580. 5525. 5490. 5450. 5412. 5378. 5355. 5355. 5374. 5411. 5460. 5499. 5515. 5491. 5425. 5346. 5308. 5368. 5446. 5560.
 5530. 5471. 5431. 5386. 5346. 5312. 5289. 5292. 5319. 5368. 5427. 5477. 5499. 5477. 5415. 5343. 5310. 5363. 5433. 5510.
 5470. 5404. 5360. 5318. 5284. 5257. 5242. 5249. 5283. 5344. 5410. 5465. 5490. 5474. 5423. 5368. 5346. 5391. 5449. 5520.
 5380. 5328. 5286. 5257. 5235. 5221. 5213. 5224. 5264. 5344. 5425. 5486. 5516. 5505. 5463. 5419. 5401. 5428. 5468. 5520.
 5290. 5262. 5225. 5206. 5196. 5193. 5196. 5213. 5258. 5345. 5430. 5490. 5522. 5519. 5490. 5452. 5441. 5459. 5493. 5550.
 5270. 5220. 5190. 5180. 5180. 5180. 5190. 5200. 5240. 5360. 5470. 5530. 5570. 5570. 5540. 5470. 5460. 5470. 5500. 5550.
