    0.63194E-04    0.65199E-04    0.66998E-04    0.68583E-04    0.69951E-04    0.71097E-04    0.72017E-04    0.72710E-04    0.73173E-04    0.73404E-04    0.73404E-04    0.73173E-04    0.72710E-04    0.72017E-04    0.71097E-04    0.69951E-04    0.68583E-04    0.66998E-04    0.65199E-04    0.63194E-04
    0.68837E-04    0.70893E-04    0.72736E-04    0.74360E-04    0.75760E-04    0.76932E-04    0.77873E-04    0.78581E-04    0.79054E-04    0.79291E-04    0.79291E-04    0.79054E-04    0.78581E-04    0.77873E-04    0.76932E-04    0.75760E-04    0.74360E-04    0.72736E-04    0.70893E-04    0.68837E-04
    0.74387E-04    0.76490E-04    0.78372E-04    0.80029E-04    0.81457E-04    0.82652E-04    0.83611E-04    0.84332E-04    0.84813E-04    0.85054E-04    0.85054E-04    0.84813E-04    0.84332E-04    0.83611E-04    0.82652E-04    0.81457E-04    0.80029E-04    0.78372E-04    0.76490E-04    0.74387E-04
    0.79819E-04    0.81962E-04    0.83879E-04    0.85564E-04    0.87015E-04    0.88229E-04    0.89202E-04    0.89933E-04    0.90421E-04    0.90666E-04    0.90666E-04    0.90421E-04    0.89933E-04    0.89202E-04    0.88229E-04    0.87015E-04    0.85564E-04    0.83879E-04    0.81962E-04    0.79819E-04
    0.85110E-04    0.87286E-04    0.89230E-04    0.90938E-04    0.92407E-04    0.93635E-04    0.94619E-04    0.95357E-04    0.95850E-04    0.96097E-04    0.96097E-04    0.95850E-04    0.95357E-04    0.94619E-04    0.93635E-04    0.92407E-04    0.90938E-04    0.89230E-04    0.87286E-04    0.85110E-04
    0.90233E-04    0.92436E-04    0.94401E-04    0.96125E-04    0.97607E-04    0.98844E-04    0.99834E-04    0.10058E-03    0.10107E-03    0.10132E-03    0.10132E-03    0.10107E-03    0.10058E-03    0.99834E-04    0.98844E-04    0.97607E-04    0.96125E-04    0.94401E-04    0.92436E-04    0.90233E-04
    0.95168E-04    0.97388E-04    0.99367E-04    0.10110E-03    0.10259E-03    0.10383E-03    0.10482E-03    0.10557E-03    0.10606E-03    0.10631E-03    0.10631E-03    0.10606E-03    0.10557E-03    0.10482E-03    0.10383E-03    0.10259E-03    0.10110E-03    0.99367E-04    0.97388E-04    0.95168E-04
    0.99891E-04    0.10212E-03    0.10411E-03    0.10584E-03    0.10733E-03    0.10857E-03    0.10956E-03    0.11030E-03    0.11080E-03    0.11104E-03    0.11104E-03    0.11080E-03    0.11030E-03    0.10956E-03    0.10857E-03    0.10733E-03    0.10584E-03    0.10411E-03    0.10212E-03    0.99891E-04
    0.10438E-03    0.10662E-03    0.10860E-03    0.11033E-03    0.11181E-03    0.11305E-03    0.11403E-03    0.11477E-03    0.11526E-03    0.11550E-03    0.11550E-03    0.11526E-03    0.11477E-03    0.11403E-03    0.11305E-03    0.11181E-03    0.11033E-03    0.10860E-03    0.10662E-03    0.10438E-03
    0.10863E-03    0.11085E-03    0.11283E-03    0.11455E-03    0.11602E-03    0.11724E-03    0.11821E-03    0.11893E-03    0.11942E-03    0.11966E-03    0.11966E-03    0.11942E-03    0.11893E-03    0.11821E-03    0.11724E-03    0.11602E-03    0.11455E-03    0.11283E-03    0.11085E-03    0.10863E-03
    0.11261E-03    0.11482E-03    0.11678E-03    0.11848E-03    0.11993E-03    0.12113E-03    0.12208E-03    0.12280E-03    0.12327E-03    0.12351E-03    0.12351E-03    0.12327E-03    0.12280E-03    0.12208E-03    0.12113E-03    0.11993E-03    0.11848E-03    0.11678E-03    0.11482E-03    0.11261E-03
    0.11632E-03    0.11851E-03    0.12044E-03    0.12211E-03    0.12353E-03    0.12471E-03    0.12564E-03    0.12634E-03    0.12680E-03    0.12703E-03    0.12703E-03    0.12680E-03    0.12634E-03    0.12564E-03    0.12471E-03    0.12353E-03    0.12211E-03    0.12044E-03    0.11851E-03    0.11632E-03
    0.11974E-03    0.12190E-03    0.12380E-03    0.12544E-03    0.12683E-03    0.12797E-03    0.12888E-03    0.12956E-03    0.13000E-03    0.13023E-03    0.13023E-03    0.13000E-03    0.12956E-03    0.12888E-03    0.12797E-03    0.12683E-03    0.12544E-03    0.12380E-03    0.12190E-03    0.11974E-03
    0.12288E-03    0.12500E-03    0.12685E-03    0.12845E-03    0.12981E-03    0.13092E-03    0.13179E-03    0.13244E-03    0.13288E-03    0.13309E-03    0.13309E-03    0.13288E-03    0.13244E-03    0.13179E-03    0.13092E-03    0.12981E-03    0.12845E-03    0.12685E-03    0.12500E-03    0.12288E-03
    0.12572E-03    0.12780E-03    0.12961E-03    0.13116E-03    0.13247E-03    0.13354E-03    0.13438E-03    0.13501E-03    0.13542E-03    0.13562E-03    0.13562E-03    0.13542E-03    0.13501E-03    0.13438E-03    0.13354E-03    0.13247E-03    0.13116E-03    0.12961E-03    0.12780E-03    0.12572E-03
    0.12828E-03    0.13030E-03    0.13206E-03    0.13356E-03    0.13482E-03    0.13585E-03    0.13665E-03    0.13725E-03    0.13764E-03    0.13783E-03    0.13783E-03    0.13764E-03    0.13725E-03    0.13665E-03    0.13585E-03    0.13482E-03    0.13356E-03    0.13206E-03    0.13030E-03    0.12828E-03
